main_category,elasticity,promo_elasticity,se
im1,-4.374500345171729,-4.361129210782335,0.24741219838318146
im11,-1.2811720973618845,-1.1690906868918873,0.045202307138150294
im12,-3.9504772778306565,-3.9397926724317713,0.2412374540535765
im14,-1.691616241662297,-1.6707803013880582,0.026283827218854663
im15,-2.2447704601593523,-2.158251103729924,0.043389653520373044
im16,-3.6135890304108322,-3.602562107513437,0.14199581647523563
im17,-2.395599773685927,-2.3545749747112303,0.04898234707434297
im19,-1.799825280303553,-1.7754439769978465,0.06721707638456474
im2,-2.028774224846301,-1.9989940404302966,0.0765432789165805
im20,-2.5981454709823186,-2.557751149763568,0.06003730914293321
im3,-3.0628139815571505,-3.0386705356286767,0.10103299558986738
im4,-2.468565795281229,-2.432849852785068,0.1062563664002187
im5,-2.3769170352824074,-2.3372957204557228,0.08264562311900624
im6,-2.540096894918985,-2.4821471577816028,0.06534290386171379
im7,-2.8566053724308422,-2.826786731712866,0.1781219332485197
im8,-2.322482865073635,-2.27698975600663,0.05894606085316527
im9,-0.9901313829650793,-0.7683394976030181,0.0687563201086147
