main_category,elasticity,se,n_obs
im11,-1.4620497699232433,0.035971099321840685,10601
im14,-1.596706716572616,0.01855208259848209,49936
im15,-2.458637168642571,0.032062390372117895,18776
im16,-3.7416772784207875,0.05861898475670577,22069
im17,-2.5201172342852596,0.03480674059904478,26505
im19,-1.6149911925422762,0.054038399802789024,15404
im2,-2.299372156637676,0.05620783011737756,10002
im20,-2.311138617039309,0.026963201326284787,50938
im3,-4.396667591485422,0.10949660018647725,6832
im4,-4.433946517446367,0.18900321756082666,1986
im5,-1.773725103638774,0.07906203140041597,18993
im6,-2.1792829289195397,0.019317775422874446,123275
im7,-2.7698309051404117,0.1391877902553619,11347
im8,-2.0778776882203434,0.060679303285967386,15484
im9,-2.0948779421589223,0.03370210684339514,17611
